path	manifest_slice	primary_domain	coverage_status
docs/sync-and-op-log/diagrams/05-meta-reducers.md	A1-M3	B02	wave-b-complete
docs/sync-and-op-log/diagrams/06-archive-operations.md	A1-M3	B04	wave-b-complete
docs/sync-and-op-log/diagrams/07-supersync-vs-file-based.md	A1-M3	B23	wave-b-complete
docs/sync-and-op-log/diagrams/08-sync-flow-explained.md	A1-M3	B14	wave-b-complete
docs/sync-and-op-log/diagrams/README.md	A1-M3	B37	wave-b-complete
docs/sync-and-op-log/file-based-sync-flowchart.md	A1-M3	B24	wave-b-complete
docs/sync-and-op-log/operation-log-architecture.md	A1-M3	B14	wave-b-complete
docs/sync-and-op-log/operation-rules.md	A1-M3	B01	wave-b-complete
docs/sync-and-op-log/package-boundaries.md	A1-M3	B37	wave-b-complete
docs/sync-and-op-log/sqlite-migration-followup.md	A1-M3	B07	wave-b-complete
docs/sync-and-op-log/sqlite-migration.md	A1-M3	B07	wave-b-complete
docs/sync-and-op-log/supersync-encryption-architecture.md	A1-M3	B22	wave-b-complete
docs/sync-and-op-log/supersync-scenarios-flowchart.md	A1-M3	B36	wave-b-complete
docs/sync-and-op-log/supersync-scenarios.md	A1-M3	B36	wave-b-complete
docs/sync-and-op-log/vector-clocks.md	A1-M3	B20	wave-b-complete
e2e/CLAUDE.md	A1-M3	B36	wave-b-complete
e2e/README.md	A1-M3	B36	wave-b-complete
e2e/constants/selectors.ts	A1-M3	B36	wave-b-complete
e2e/fixtures/legacy-migration-client-a.json	A1-M3	B36	wave-b-complete
e2e/fixtures/legacy-migration-client-b.json	A1-M3	B36	wave-b-complete
e2e/fixtures/legacy-migration-collision-a.json	A1-M3	B36	wave-b-complete
e2e/fixtures/legacy-migration-collision-b.json	A1-M3	B36	wave-b-complete
e2e/fixtures/supersync.fixture.ts	A1-M3	B36	wave-b-complete
e2e/fixtures/test-backup-encrypted.json	A1-M3	B36	wave-b-complete
e2e/fixtures/test-backup.json	A1-M3	B36	wave-b-complete
e2e/fixtures/webdav.fixture.ts	A1-M3	B36	wave-b-complete
e2e/global-setup.ts	A1-M3	B36	wave-b-complete
e2e/pages/base.page.ts	A1-M3	B36	wave-b-complete
e2e/pages/dialog.page.ts	A1-M3	B36	wave-b-complete
e2e/pages/import.page.ts	A1-M3	B36	wave-b-complete
e2e/pages/project.page.ts	A1-M3	B36	wave-b-complete
e2e/pages/supersync.page.ts	A1-M3	B36	wave-b-complete
e2e/pages/sync.page.ts	A1-M3	B36	wave-b-complete
e2e/pages/tag.page.ts	A1-M3	B36	wave-b-complete
e2e/pages/task.page.ts	A1-M3	B36	wave-b-complete
e2e/pages/work-view.page.ts	A1-M3	B36	wave-b-complete
e2e/playwright.config.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/ENCRYPTION-E2E-STATUS.md	A1-M3	B36	wave-b-complete
e2e/tests/sync/import-sync.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-account-deletion.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-account-reset.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-advanced-edge-cases.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-advanced.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-archive-conflict.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-archive-data-sync.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-archive-subtasks.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-backup-import-id-mismatch.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-backup-recovery.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-cascade-delete.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-compaction.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-concurrent-delete-reorder.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-concurrent-import.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-conflict-gate-non-task-work.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-constraint-error-recovery.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-cross-entity.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-daily-summary.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-day-change-overdue-6992.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-divergence-bug-6571.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-edge-cases.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-encryption-conflict.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-encryption-password-change.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-encryption-password-preservation.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-encryption.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-error-handling.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-error-scenarios.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-example-task-fresh-client.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-global-config-edge-cases.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-import-clean-server-state.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-import-clean-slate.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-import-conflict-dialog.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-import-encryption-change.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-import-encryption-preserve.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-import-other-client-ops.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-import-same-client-ops.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-keep-local-archive-preservation.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-lastseq-preservation.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-late-join.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-legacy-migration-sync.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-lww-conflict.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-lww-singleton.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-max-retry-rejection.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-models.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-multi-tab.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-network-failure.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-no-op-sync.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-planner.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-project-delete-conflict.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-provider-switch-to-supersync.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-provider-switch.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-realtime-push.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-reenable-and-account-switch.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-rejected-ops-transient-download-8331.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-repeat-task-advanced.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-repeat-task.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-server-backup-revert.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-server-migration-abort.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-server-migration.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-simple-counter-delete-update-7330.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-simple-counter.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-snapshot-vector-clock.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-stress.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-superseded-clock-regression.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-task-ordering.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-time-tracking-advanced.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-token-expiry.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-use-remote-crash-resume.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-vector-clock-max-size.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-vector-clock-pruning.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-worklog.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync-wrong-password-error.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/supersync.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/webdav-conflict-use-remote-restore-8107.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/webdav-encryption-conflict-use-local.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/webdav-encryption-disable.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/webdav-first-sync-conflict.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/webdav-legacy-migration-sync.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/webdav-provider-switch.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/webdav-setup-encryption.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/webdav-single-client-rapid-sync.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/webdav-sync-advanced.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/webdav-sync-archive.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/webdav-sync-delete-cascade.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/webdav-sync-error-handling.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/webdav-sync-expansion.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/webdav-sync-full.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/webdav-sync-tags.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/webdav-sync-task-order.spec.ts	A1-M3	B36	wave-b-complete
e2e/tests/sync/webdav-sync-today-tag.spec.ts	A1-M3	B36	wave-b-complete
e2e/tsconfig.json	A1-M3	B36	wave-b-complete
e2e/utils/assertions.ts	A1-M3	B36	wave-b-complete
e2e/utils/check-webdav.ts	A1-M3	B36	wave-b-complete
e2e/utils/config-helpers.ts	A1-M3	B36	wave-b-complete
e2e/utils/e2e-constants.ts	A1-M3	B36	wave-b-complete
e2e/utils/element-helpers.ts	A1-M3	B36	wave-b-complete
e2e/utils/legacy-migration-helpers.ts	A1-M3	B36	wave-b-complete
e2e/utils/runtime-errors.ts	A1-M3	B36	wave-b-complete
e2e/utils/schedule-task-helper.ts	A1-M3	B36	wave-b-complete
e2e/utils/supersync-assertions.ts	A1-M3	B36	wave-b-complete
e2e/utils/supersync-helpers.ts	A1-M3	B36	wave-b-complete
e2e/utils/sync-helpers.ts	A1-M3	B36	wave-b-complete
e2e/utils/time-input-helper.ts	A1-M3	B36	wave-b-complete
e2e/utils/waits.ts	A1-M3	B36	wave-b-complete
electron/backup.ts	A1-M2	B35	wave-b-complete
electron/electronAPI.d.ts	A1-M2	B35	wave-b-complete
electron/file-path-guard.test.cjs	A1-M2	B35	wave-b-complete
electron/file-path-guard.ts	A1-M2	B35	wave-b-complete
electron/image-cache.test.cjs	A1-M2	B35	wave-b-complete
electron/image-cache.ts	A1-M2	B35	wave-b-complete
electron/local-file-sync.test.cjs	A1-M2	B35	wave-b-complete
electron/local-file-sync.ts	A1-M2	B35	wave-b-complete
electron/main-window.ts	A1-M2	B35	wave-b-complete
electron/preload.ts	A1-M2	B35	wave-b-complete
electron/shared-with-frontend/get-backup-timestamp.ts	A1-M2	B35	wave-b-complete
electron/shared-with-frontend/ipc-events.const.ts	A1-M2	B35	wave-b-complete
electron/shared-with-frontend/simple-store.const.ts	A1-M2	B35	wave-b-complete
electron/simple-store.test.cjs	A1-M2	B35	wave-b-complete
electron/simple-store.ts	A1-M2	B35	wave-b-complete
electron/start-app.ts	A1-M2	B35	wave-b-complete
electron/sync-path-resolver.test.cjs	A1-M2	B35	wave-b-complete
electron/sync-path-resolver.ts	A1-M2	B35	wave-b-complete
electron/tsconfig.electron.json	A1-M2	B35	wave-b-complete
eslint-local-rules/index.js	A1-M3	B37	wave-b-complete
eslint-local-rules/rules/no-actions-in-effects.js	A1-M3	B37	wave-b-complete
eslint-local-rules/rules/no-actions-in-effects.spec.js	A1-M3	B37	wave-b-complete
eslint-local-rules/rules/no-adapter-in-tx.js	A1-M3	B37	wave-b-complete
eslint-local-rules/rules/no-adapter-in-tx.spec.js	A1-M3	B37	wave-b-complete
eslint-local-rules/rules/no-multi-entity-effect.js	A1-M3	B37	wave-b-complete
eslint-local-rules/rules/no-multi-entity-effect.spec.js	A1-M3	B37	wave-b-complete
eslint-local-rules/rules/require-entity-registry.js	A1-M3	B37	wave-b-complete
eslint-local-rules/rules/require-hydration-guard.js	A1-M3	B37	wave-b-complete
eslint-local-rules/rules/require-hydration-guard.spec.js	A1-M3	B37	wave-b-complete
eslint-local-rules/run-specs.js	A1-M3	B37	wave-b-complete
eslint.config.js	A1-M3	B37	wave-b-complete
ios/App/App.xcodeproj/project.pbxproj	A1-M2	B35	wave-b-complete
ios/App/App/Base.lproj/Main.storyboard	A1-M2	B35	wave-b-complete
ios/App/App/CustomViewController.swift	A1-M2	B35	wave-b-complete
ios/App/App/WebDavHttpPlugin.m	A1-M2	B35	wave-b-complete
ios/App/App/WebDavHttpPlugin.swift	A1-M2	B35	wave-b-complete
package.json	A1-M3	B37	wave-b-complete
packages/shared-schema/.gitignore	A1-M1	B31	wave-b-complete
packages/shared-schema/package.json	A1-M1	B31	wave-b-complete
packages/shared-schema/src/entity-types.ts	A1-M1	B31	wave-b-complete
packages/shared-schema/src/index.ts	A1-M1	B31	wave-b-complete
packages/shared-schema/src/migrate.ts	A1-M1	B31	wave-b-complete
packages/shared-schema/src/migration.types.ts	A1-M1	B31	wave-b-complete
packages/shared-schema/src/migrations/index.ts	A1-M1	B31	wave-b-complete
packages/shared-schema/src/migrations/lww-replacement-barrier-v2-to-v3.ts	A1-M1	B31	wave-b-complete
packages/shared-schema/src/migrations/misc-to-tasks-settings-migration-v1-to-v2.ts	A1-M1	B31	wave-b-complete
packages/shared-schema/src/migrations/project-delete-wins-barrier-v3-to-v4.ts	A1-M1	B31	wave-b-complete
packages/shared-schema/src/schema-version.ts	A1-M1	B31	wave-b-complete
packages/shared-schema/src/supersync-http-contract.ts	A1-M1	B31	wave-b-complete
packages/shared-schema/tests/migrate.spec.ts	A1-M1	B31	wave-b-complete
packages/shared-schema/tests/migrations/lww-replacement-barrier-v2-to-v3.spec.ts	A1-M1	B31	wave-b-complete
packages/shared-schema/tests/migrations/misc-to-tasks-settings-migration-v1-to-v2.spec.ts	A1-M1	B31	wave-b-complete
packages/shared-schema/tests/migrations/project-delete-wins-barrier-v3-to-v4.spec.ts	A1-M1	B31	wave-b-complete
packages/shared-schema/tests/supersync-http-contract.spec.ts	A1-M1	B31	wave-b-complete
packages/shared-schema/tsconfig.json	A1-M1	B31	wave-b-complete
packages/shared-schema/tsup.config.ts	A1-M1	B31	wave-b-complete
packages/shared-schema/vitest.config.ts	A1-M1	B31	wave-b-complete
packages/super-sync-server/.env.example	A1-M1	B38	wave-b-complete
packages/super-sync-server/.gitignore	A1-M1	B34	wave-b-complete
packages/super-sync-server/Caddyfile	A1-M1	B38	wave-b-complete
packages/super-sync-server/DOCKER-MONITORING.md	A1-M1	B38	wave-b-complete
packages/super-sync-server/Dockerfile	A1-M1	B38	wave-b-complete
packages/super-sync-server/Dockerfile.test	A1-M1	B38	wave-b-complete
packages/super-sync-server/README.md	A1-M1	B34	wave-b-complete
packages/super-sync-server/archive/encryption-attempts-openvz-incompatible/README.md	A1-M1	B38	wave-b-complete
packages/super-sync-server/archive/encryption-attempts-openvz-incompatible/discover-docker-names.sh	A1-M1	B38	wave-b-complete
packages/super-sync-server/archive/encryption-attempts-openvz-incompatible/docker-compose.encrypted.yaml	A1-M1	B38	wave-b-complete
packages/super-sync-server/archive/encryption-attempts-openvz-incompatible/migrate-to-encrypted-volume.sh	A1-M1	B38	wave-b-complete
packages/super-sync-server/archive/encryption-attempts-openvz-incompatible/migration-runbook.md	A1-M1	B38	wave-b-complete
packages/super-sync-server/archive/encryption-attempts-openvz-incompatible/operational-procedures.md	A1-M1	B38	wave-b-complete
packages/super-sync-server/archive/encryption-attempts-openvz-incompatible/setup-encrypted-volume.sh	A1-M1	B38	wave-b-complete
packages/super-sync-server/archive/encryption-attempts-openvz-incompatible/unlock-encrypted-volume.sh	A1-M1	B38	wave-b-complete
packages/super-sync-server/archive/encryption-attempts-openvz-incompatible/verify-migration.sh	A1-M1	B38	wave-b-complete
packages/super-sync-server/archive/encryption-attempts-openvz-incompatible/verify-prerequisites.sh	A1-M1	B38	wave-b-complete
packages/super-sync-server/docker-compose.build.yml	A1-M1	B38	wave-b-complete
packages/super-sync-server/docker-compose.monitoring.yml	A1-M1	B38	wave-b-complete
packages/super-sync-server/docker-compose.yml	A1-M1	B38	wave-b-complete
packages/super-sync-server/docs/authentication.md	A1-M1	B34	wave-b-complete
packages/super-sync-server/docs/backup-and-recovery.md	A1-M1	B38	wave-b-complete
packages/super-sync-server/docs/encryption-at-rest.md	A1-M1	B38	wave-b-complete
packages/super-sync-server/docs/testing-guide.md	A1-M1	B34	wave-b-complete
packages/super-sync-server/env.example	A1-M1	B34	wave-b-complete
packages/super-sync-server/helm/supersync/.helmignore	A1-M1	B38	wave-b-complete
packages/super-sync-server/helm/supersync/Chart.yaml	A1-M1	B38	wave-b-complete
packages/super-sync-server/helm/supersync/templates/NOTES.txt	A1-M1	B38	wave-b-complete
packages/super-sync-server/helm/supersync/templates/_helpers.tpl	A1-M1	B38	wave-b-complete
packages/super-sync-server/helm/supersync/templates/configmap.yaml	A1-M1	B38	wave-b-complete
packages/super-sync-server/helm/supersync/templates/deployment.yaml	A1-M1	B38	wave-b-complete
packages/super-sync-server/helm/supersync/templates/hpa.yaml	A1-M1	B38	wave-b-complete
packages/super-sync-server/helm/supersync/templates/ingress.yaml	A1-M1	B38	wave-b-complete
packages/super-sync-server/helm/supersync/templates/networkpolicy.yaml	A1-M1	B38	wave-b-complete
packages/super-sync-server/helm/supersync/templates/pdb.yaml	A1-M1	B38	wave-b-complete
packages/super-sync-server/helm/supersync/templates/postgresql/secret.yaml	A1-M1	B38	wave-b-complete
packages/super-sync-server/helm/supersync/templates/postgresql/service.yaml	A1-M1	B38	wave-b-complete
packages/super-sync-server/helm/supersync/templates/postgresql/statefulset.yaml	A1-M1	B38	wave-b-complete
packages/super-sync-server/helm/supersync/templates/pvc.yaml	A1-M1	B38	wave-b-complete
packages/super-sync-server/helm/supersync/templates/secret.yaml	A1-M1	B38	wave-b-complete
packages/super-sync-server/helm/supersync/templates/service.yaml	A1-M1	B38	wave-b-complete
packages/super-sync-server/helm/supersync/templates/serviceaccount.yaml	A1-M1	B38	wave-b-complete
packages/super-sync-server/helm/supersync/templates/tests/test-connection.yaml	A1-M1	B38	wave-b-complete
packages/super-sync-server/helm/supersync/values.yaml	A1-M1	B38	wave-b-complete
packages/super-sync-server/package.json	A1-M1	B37	wave-b-complete
packages/super-sync-server/prisma/migrations/0_init/migration.sql	A1-M1	B38	wave-b-complete
packages/super-sync-server/prisma/migrations/20251212000000_add_is_payload_encrypted/migration.sql	A1-M1	B38	wave-b-complete
packages/super-sync-server/prisma/migrations/20251218000000_add_storage_quota/migration.sql	A1-M1	B38	wave-b-complete
packages/super-sync-server/prisma/migrations/20251228000000_remove_parent_op_id/migration.sql	A1-M1	B38	wave-b-complete
packages/super-sync-server/prisma/migrations/20251228000001_remove_tombstones/migration.sql	A1-M1	B38	wave-b-complete
packages/super-sync-server/prisma/migrations/20251231000000_add_password_reset_token/migration.sql	A1-M1	B38	wave-b-complete
packages/super-sync-server/prisma/migrations/20260102000000_add_passkey_support/migration.sql	A1-M1	B38	wave-b-complete
packages/super-sync-server/prisma/migrations/20260103000000_add_optype_index/migration.sql	A1-M1	B38	wave-b-complete
packages/super-sync-server/prisma/migrations/20260329000000_add_sync_import_reason/migration.sql	A1-M1	B38	wave-b-complete
packages/super-sync-server/prisma/migrations/20260511000000_add_entity_sequence_index/migration.sql	A1-M1	B38	wave-b-complete
packages/super-sync-server/prisma/migrations/20260512000000_add_full_state_sequence_index_drop_redundant_indexes/migration.sql	A1-M1	B38	wave-b-complete
packages/super-sync-server/prisma/migrations/20260513000000_add_full_state_vector_clock/migration.sql	A1-M1	B38	wave-b-complete
packages/super-sync-server/prisma/migrations/20260514000000_add_encrypted_ops_partial_index/migration.sql	A1-M1	B38	wave-b-complete
packages/super-sync-server/prisma/migrations/20260514000001_add_operation_payload_bytes/migration.sql	A1-M1	B38	wave-b-complete
packages/super-sync-server/prisma/migrations/20260514000002_add_payload_bytes_unbackfilled_index/migration.sql	A1-M1	B38	wave-b-complete
packages/super-sync-server/prisma/migrations/20260601000000_add_login_token/migration.sql	A1-M1	B38	wave-b-complete
packages/super-sync-server/prisma/migrations/20260613000000_add_operation_entity_ids/migration.sql	A1-M1	B38	wave-b-complete
packages/super-sync-server/prisma/migrations/20260613000001_add_operation_entity_ids_gin_index/migration.sql	A1-M1	B38	wave-b-complete
packages/super-sync-server/prisma/migrations/20260713000000_add_pending_passkey_registrations/migration.sql	A1-M1	B38	wave-b-complete
packages/super-sync-server/prisma/migrations/20260713000000_add_repair_base_server_seq/migration.sql	A1-M1	B38	wave-b-complete
packages/super-sync-server/prisma/migrations/README.md	A1-M1	B38	wave-b-complete
packages/super-sync-server/prisma/migrations/migrate-passkey-credentials.ts	A1-M1	B38	wave-b-complete
packages/super-sync-server/prisma/migrations/migration_lock.toml	A1-M1	B38	wave-b-complete
packages/super-sync-server/prisma/schema.prisma	A1-M1	B38	wave-b-complete
packages/super-sync-server/privacy-policy-en.md	A1-M1	B34	wave-b-complete
packages/super-sync-server/privacy-policy.md	A1-M1	B34	wave-b-complete
packages/super-sync-server/public/app.js	A1-M1	B34	wave-b-complete
packages/super-sync-server/public/eu-stars.svg	A1-M1	B34	wave-b-complete
packages/super-sync-server/public/index.html	A1-M1	B34	wave-b-complete
packages/super-sync-server/public/magic-login-confirm.js	A1-M1	B34	wave-b-complete
packages/super-sync-server/public/privacy.template.html	A1-M1	B34	wave-b-complete
packages/super-sync-server/public/recover-passkey.js	A1-M1	B34	wave-b-complete
packages/super-sync-server/public/reset-password.js	A1-M1	B34	wave-b-complete
packages/super-sync-server/public/simplewebauthn-browser.min.js	A1-M1	B34	wave-b-complete
packages/super-sync-server/public/style.css	A1-M1	B34	wave-b-complete
packages/super-sync-server/public/terms.html	A1-M1	B34	wave-b-complete
packages/super-sync-server/scripts/MONITORING-README.md	A1-M1	B38	wave-b-complete
packages/super-sync-server/scripts/analyze-storage.ts	A1-M1	B38	wave-b-complete
